시설ID,시설명,서비스분류코드,서비스분류,자치구코드,자치구명,연령구분코드,연령구분,X좌표값,Y좌표값,우편번호,기본주소,상세주소,연락처,사용료,학기시작시간,학기종료시간,방학시작시간,방학종료시간,토요일운영여부,토요일운영시작시간,토요일운영종료시간,설립일,수정일시
SD220102,조이스터디,1003,지역아동센터,11200,성동구,1003,초등학생,,,,,,02-2282-5694,,,,,,N,,,2022.1.6 17:25,
GS220102,꿈나무학교지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.83984,37.53727,7762,서울특별시 강서구 가로공원로 214-1,원신빌딩 2층 (화곡동),02-2690-3341,0,1000,1900,1000,1900,N,,,2022.1.4 17:16,2022.2.28 14:47
GS220101,위캔지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.84674,37.54433,7677,서울특별시 강서구 까치산로12길 8-16,4층 (화곡동),02-2690-0157,0,1000,2100,1000,2100,N,1000,1900,2022.1.4 17:16,2022.2.28 16:26
GA211201,꿈나무공부방 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.91644,37.4637,8859,서울특별시 관악구 난향12길 26, (신림동),02)- 868-3117,,1200,2100,1200,2100,N,,,2021.12.16 17:05,
GD211103,구립고덕2동청소년지역아동센터,1003,지역아동센터,11740,강동구,1003,초등학생,,,,,,02-441-5423,,,,,,N,,,2021.11.9 16:55,
EP211001,보물섬지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.90667,37.60968,3428,서울특별시 은평구 갈현로15길 46,102호 (구산동 명남빌라트),02-388-0145,,1000,1900,,,N,,,2021.10.13 16:55,
JR211001,서울지역아동센터,1003,지역아동센터,11260,중랑구,1003,초등학생,127.08578,37.58975,2146,서울특별시 중랑구 겸재로35길 38, (면목동),02-432-9004,,900,2200,,,N,,,2021.10.1 16:55,
KC210905,나누리지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90892,37.4531,8574,서울특별시 금천구 금하로23길 40,2층 (시흥동),02-892-0109,,1100,2100,,,Y,,,2021.9.9 16:55,
KC210902,금천미래지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.8973,37.4752,8531,서울특별시 금천구 시흥대로151길 12,2층 (독산동),02-854-9442,,1200,2200,,,N,,,2021.9.8 16:55,
GA210903,참좋은 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.91711,37.47621,8849,서울특별시 관악구 난우길 41,2층 (신림동),02-857-7355,,1000,2100,1000,2100,N,,,2021.9.4 16:55,
GA210902,민영지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.91704,37.47666,8849,서울특별시 관악구 난우길 45,2층 (신림동),02-830-7355,,1000,2100,1000,2100,N,,,2021.9.4 16:55,
GA210901,양지 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.9389,37.48393,8756,서울특별시 관악구 남부순환로 1695,2층 (봉천동),02-877-6130,0,1000,1900,1000,1900,Y,1000,1500,2021.9.2 16:55,
YC210901,물댄동산목동지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,126.86453,37.50778,8104,서울특별시 양천구 목동남로2길 21,2층 (신정동),02-2062-6377,0,1000,1930,,,Y,,,2021.9.1 16:55,
SB210901,마고네지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.00669,37.59263,2834,서울특별시 성북구 성북로8길 65,1동 1층 101호 (성북동 성북하이츠빌라) (성북동 성북하이츠빌라),02-765-2770,0,1100,1900,,,N,,,2021.9.1 16:55,
GA210805,물댄동산난곡 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.91517,37.47753,8864,서울특별시 관악구 난곡로 263,3층 (신림동),02-858-2486,0,1000,1900,1030,1830,Y,1100,1600,2021.8.31 16:55,
GA210803,관악청소년 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.91111,37.48042,8770,서울특별시 관악구 난곡로63길 65,3층 (신림동),02-859-6357,0,1200,2100,1100,2000,Y,1100,1700,2021.8.31 16:55,
GD210802,암사지역아동센터,1003,지역아동센터,11740,강동구,1003,초등학생,127.13806,37.55589,5236,서울특별시 강동구 고덕로27길 28, (암사동),02-481-9711,,1000,1900,,,N,,,2021.8.6 16:55,
GS210703,발음지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.83419,37.55092,7638,서울특별시 강서구 강서로47다길 41, (내발산동),02-2663-1373,,1000,2100,1000,2030,N,,,2021.7.2 16:55,2021.8.19 15:11
GB210601,마을속작은학교,1003,지역아동센터,11305,강북구,1003,초등학생,127.01805,37.64425,1040,서울특별시 강북구 삼양로118길 33,(수유동),02-903-6678,0,1000,2100,,,N,,,2021.6.5 16:55,
KC210604,금나래지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.89402,37.46756,8586,서울특별시 금천구 범안로17길 23, (독산동),02-803-7979,0,1100,2000,,,Y,1000,1500,2021.6.3 16:55,
KC210602,독산1동지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.88962,37.46264,8596,서울특별시 금천구 벚꽃로 73,306호 (독산동 금천현대아파트),02-6677-1112,0,1000,1900,,,N,,,2021.6.3 16:55,
JR210601,참사랑지역아동센터,1003,지역아동센터,11260,중랑구,1003,초등학생,127.090597,37.5819573,2212,서울특별시 중랑구 면목로48길 56, (면목동),02-493-0009,0,1000,1900,,,N,,,2021.6.1 16:55,
SM210602,주원지역아동센터,1003,지역아동센터,11410,서대문구,1003,초등학생,126.94752,37.58661,3632,서울특별시 서대문구 홍제원6길 4, (홍제동),02-396-4483,0,1000,1900,,,Y,1000,1900,2021.6.1 16:55,
JR210502,참이랑지역아동센터,1003,지역아동센터,11260,중랑구,1003,초등학생,127.08785,37.59981,2082,서울특별시 중랑구 상봉중앙로1길 78, 2층,02-433-3131,0,1000,1900,,,N,,,2021.5.29 16:55,
EP210518,행복한지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.9155,37.60274,3418,서울특별시 은평구 연서로 39,2층3층 (역촌동),02-386-3246,0,1000,2000,,,N,,,2021.5.26 16:55,2021.6.1 9:29
EP210509,꿈이있는푸른학교지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.91971,37.58729,3479,서울특별시 은평구 응암로12길 27,2 3층 (응암동),02-382-1496,,,,,,N,,,2021.5.26 16:55,2021.5.28 17:08
EP210510,공립벧엘지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.91664,37.60438,3402,서울특별시 은평구 연서로6길 7,3층 (역촌동),02-351-3790,0,900,2200,,,N,,,2021.5.26 16:55,2021.5.31 16:34
EP210505,이레지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.91558,37.60227,3421,서울특별시 은평구 연서로 35,4층 (역촌동),02-355-8680,,1000,1900,,,N,,,2021.5.26 16:55,2021.6.1 9:33
EP210501,동방지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.90999,37.6006,3435,서울특별시 은평구 갈현로 29,신사코아 202 204호 (신사동 신사코아아파트),02-382-9387,0,1030,1930,,,N,,,2021.5.26 16:55,2021.6.1 9:30
EP210504,은광지역아동센터,1003,지역아동센터,11380,은평구,1003,초등학생,126.93064,37.60631,3376,서울특별시 은평구 녹번로 55, (녹번동),02-355-6184,0,1000,2200,,,N,,,2021.5.26 16:55,2021.6.1 9:35
YS210501,생명나무 지역아동센터,1003,지역아동센터,11170,용산구,1003,초등학생,126.95806,37.54105,4319,서울특별시 용산구 백범로43길 2,지1층 (효창동),02-719-5120,0,1000,1900,1000,1900,N,,,2021.5.26 16:55,
SM210501,신일지역아동센터,1003,지역아동센터,11410,서대문구,1003,초등학생,126.9591,37.56564,3746,서울특별시 서대문구 독립문로8길 107, (천연동),070-8268-8822,0,1000,1900,,,N,,,2021.5.26 16:55,
YF210501,쪼물왕국지역아동센터,1003,지역아동센터,11560,영등포구,1003,초등학생,126.89561,37.53888,7206,서울특별시 영등포구 선유로53길 34-14,(양평동4가) 1층 (양평동4가),02-6408-7205,,1400,1900,,,N,,,2021.5.26 16:55,
GA210501,성산교회부설 한우리 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.96435,37.4733,8797,서울특별시 관악구 낙성대역14가길 7,교육관2층 (봉천동),02-884-1026,0,1100,2000,1100,2000,N,,,2021.5.22 16:55,
GJ210501,행복한지역아동센터,1003,지역아동센터,11215,광진구,1003,초등학생,127.08881,37.54665,4976,서울특별시 광진구 광나루로37길 43,1층 (구의동),02-454-8891,0,1030,1930,1030,1930,N,,,2021.5.5 16:55,2021.6.1 9:29
GA210401,은천 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.92102,37.48838,8703,서울특별시 관악구 관천로 119,2층 (신림동),02-839-1405,0,1300,2200,1100,2200,Y,1100,1400,2021.4.29 16:55,
GD210403,밝은미래지역아동센터,1003,지역아동센터,11740,강동구,1003,초등학생,127.12963,37.55103,5263,서울특별시 강동구 올림픽로98길 25,3층 (암사동),02-442-0518,,,,,,N,,,2021.4.27 16:55,
NW210401,구립노원청소년지역아동센터,1003,지역아동센터,11350,노원구,1003,초등학생,127.0759,37.66017,1715,서울특별시 노원구 덕릉로86길 5, (중계동),02-938-7971,,,,,,N,,,2021.4.9 16:55,
GA210303,보라매 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.92893,37.49091,8710,서울특별시 관악구 당곡길 36,대성빌딩 4층 401호 (봉천동),02-889-0247,0,1030,1930,1030,1930,Y,1000,1500,2021.3.26 16:55,
GA210306,꿈마을 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.94709,37.48579,8747,서울특별시 관악구 양녕로 42,2층 (봉천동),02-871-4905,0,1100,2100,1000,2100,N,,,2021.3.26 16:55,
GA210305,비전교실 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.9607,37.48459,8735,서울특별시 관악구 관악로30길 40,봉천우성아파트 제2상가 3층 (봉천동 봉천우성아파트),02-882-7204,0,1000,2000,1000,2000,N,,,2021.3.26 16:55,
GA210304,꿈둥지지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.94439,37.47963,8785,서울특별시 관악구 쑥고개로 71,2층 (봉천동),02-888-9045,0,1000,2100,1000,2100,N,,,2021.3.26 16:55,
GA210302,광동 지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.96081,37.47926,8742,서울특별시 관악구 행운2길 31,교육관 2층 (봉천동),02-875-8555,0,1100,2100,1000,2100,N,,,2021.3.26 16:55,2021.8.19 15:13
GD210304,돋움지역아동센터,1003,지역아동센터,11740,강동구,1003,초등학생,127.15255,37.55906,5227,서울특별시 강동구 동남로81길 82, (고덕동),02-6081-5252,0,1000,1900,,,N,,,2021.3.22 16:55,
GB210302,송중동지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.03324,37.61382,1218,서울특별시 강북구 오패산로31길 14, (미아동),02-988-1255,0,1130,2030,1130,2030,N,,,2021.3.22 16:55,2021.11.2 15:14
GB210304,울림사회적협동조합하늘씨앗지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.01868,37.62543,1127,서울특별시 강북구 삼양로 246,3층 (미아동),02-981-7891,0,1000,2000,1000,2000,N,,,2021.3.22 16:55,2021.11.2 15:19
GB210305,울림사회적협동조합 독립문지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.03027,37.63449,1134,서울특별시 강북구 덕릉로 40길 14,(번동),02-994-3152,0,1130,2030,1130,2030,N,,,2021.3.22 16:55,2021.11.8 13:40
GB210307,강북지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.01759,37.64426,1040,서울특별시 강북구 삼양로118길 27, (수유동),070-7404-1747,0,1200,2100,,,N,,,2021.3.22 16:55,
GS210303,함께꿈꾸는지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.84405,37.55894,7591,서울특별시 강서구 강서로 56길 96,3층 (등촌동),02-2658-0734,,,,,,N,,,2021.3.22 16:55,
GJ210302,경희지역아동센터,1003,지역아동센터,11215,광진구,1003,초등학생,127.08045,37.5657,4907,서울특별시 광진구 긴고랑로7길 54,1층 (중곡동),02-463-7032,0,1000,1900,1000,1900,N,1000,1500,2021.3.22 16:55,2021.10.28 15:09
GR210302,누리지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.88642,37.48724,8319,서울특별시 구로구 구로동로8길 31,4층(구로동) (구로동),02-866-3157,0,1100,2000,,,N,,,2021.3.22 16:55,
GR210305,꿈나래지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.84066,37.49696,8269,서울특별시 구로구 고척로6길 29,3층(오류동) (오류동),02-3666-0102,0,1000,1900,,,Y,1000,1900,2021.3.22 16:55,
GR210306,해피지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.83972,37.49644,8254,서울특별시 구로구 고척로 19,303호(오류동 한백고은아파트) (오류동 한백고은아파트),02-6369-2556,0,1000,1900,,,N,,,2021.3.22 16:55,
GR210308,메이지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.89365,37.49527,8303,서울특별시 구로구 구로중앙로18길 68,3동 105호(구로동 신구로현대아파트) (구로동 신구로현대아파트),02-855-8808,0,1000,1900,,,N,,,2021.3.22 16:55,
GR210309,은혜지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.85656,37.505,8228,서울특별시 구로구 고척로52길 9,양우A.P.T 101동 상가 201호(고척동) (고척동 양우아파트),02-2681-8946,0,1000,1900,,,N,,,2021.3.22 16:55,
KC210302,하늘지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90495,37.47616,8552,서울특별시 금천구 문성로 12,2층 (독산동),02-837-2305,0,1000,2200,,,N,,,2021.3.22 16:55,
KC210303,안수인지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90429,37.44186,8652,서울특별시 금천구 시흥대로26길 9,2층 (시흥동),02-892-4359,0,1000,1900,,,N,,,2021.3.22 16:55,
KC210304,금천행복한지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90513,37.45797,8625,서울특별시 금천구 독산로 119,3층 (시흥동),02-895-9561,0,1000,1900,,,N,,,2021.3.22 16:55,
KC210306,사랑의지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.8997,37.46454,8617,서울특별시 금천구 시흥대로104길 36, (독산동) 3층,02-893-1112,0,1100,2200,,,N,,,2021.3.22 16:55,
KC210307,아이들세상지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90336,37.46409,8562,서울특별시 금천구 독산로 190, (독산동),02-806-2954,0,1000,1930,,,N,,,2021.3.22 16:55,
KC210308,세림지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90363,37.45354,8628,서울특별시 금천구 금하로 658, (시흥동),02-809-0004,0,1000,1900,,,N,,,2021.3.22 16:55,
KC210305,푸른샘지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90565,37.44946,8649,서울특별시 금천구 독산로 24,2층 (시흥동),02-896-1489,0,1100,2000,,,Y,1030,1630,2021.3.22 16:55,
SP210301,푸른솔지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.11342,37.53525,5525,서울특별시 송파구 풍성로 6,2 (풍납동),02-6014-0075,0,1000,1900,1000,1900,N,,,2021.3.22 16:55,
GJ210303,한사랑지역아동센터,1003,지역아동센터,11215,광진구,1003,초등학생,127.07271,37.55513,5000,서울특별시 광진구 동일로54길 20,1층 (군자동),02-499-0971,0,1000,2000,1000,1900,N,1000,1400,2021.3.22 16:55,2021.10.28 14:52
DJ210308,흑석희망지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.96606,37.50763,6904,서울특별시 동작구 현충로 111,402호 (흑석동),070-8666-8032,0,1100,2200,,,N,,,2021.3.22 16:55,
SB210303,성광지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.0103,37.61382,2711,서울특별시 성북구 보국문로16길 87, (정릉동),02-911-4207,0,1100,1900,,,N,,,2021.3.22 16:55,
DM210304,한마음지역아동센터,1003,지역아동센터,11230,동대문구,1003,초등학생,127.04831,37.58472,2487,서울특별시 동대문구 왕산로45길 31, (청량리동),02-964-0008,0,1000,1900,1000,1900,N,,,2021.3.22 16:55,
GR210301,구로파랑새나눔터공부방지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.88463,37.49483,8285,서울특별시 구로구 구로동로38길 32,3층(구로동) (구로동),02-838-5679,0,1030,2000,,,N,,,2021.3.22 16:55,
DJ210309,생각의숲지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.93782,37.50089,6961,서울특별시 동작구 성대로29길 60,2층 (상도동),02-3280-0922,0,1000,1900,,,N,,,2021.3.22 16:55,
SB210308,삼성지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.0243,37.60097,2807,서울특별시 성북구 동소문로34길 24,304 305호 (돈암동삼성상가),02-921-8411,,,,,,N,,,2021.3.22 16:55,
GB210306,울림사회적협동조합 꾸러기지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.03184,37.62064,1163,서울특별시 강북구 도봉로 28나길 7,1층 (미아동),070-8833-7721,0,1200,2100,1200,2100,N,,,2021.3.22 16:55,2021.11.8 13:42
GB210303,울림사회적협동조합 산지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.01926,37.64085,1075,서울특별시 강북구 삼각산로 134,3층 (수유동),02-905-8432,0,1030,2000,,,N,,,2021.3.22 16:55,
GR210304,푸르미지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.85854,37.50151,8232,서울특별시 구로구 경서로 47,502호/503호 (고척동) (고척동),02-816-1515,0,1000,1900,,,N,,,2021.3.22 16:55,
KC210309,오예스지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,126.90515,37.46603,8561,서울특별시 금천구 독산로 64길 50,(독산동),02-803-2340,0,1100,2200,,,N,,,2021.3.22 16:55,
NW210303,삼정학교지역아동센터,1003,지역아동센터,11350,노원구,1003,초등학생,127.05874,37.65165,1761,서울특별시 노원구 동일로215길 48, 1층(상계67동선천교회) (상계동 상계주공3단지아파트),02-865-5570,0,1100,2000,1100,1900,N,,,2021.3.22 16:55,
DM210301,해피아트지역아동센터,1003,지역아동센터,11230,동대문구,1003,초등학생,127.05956,37.58793,2497,서울특별시 동대문구 망우로14가길 28,(휘경2동 294-152) (휘경동),02-2244-9874,0,1000,1900,,,N,,,2021.3.22 16:55,
GA210301,해성지역아동센터,1003,지역아동센터,11620,관악구,1003,초등학생,126.95698,37.4894,8726,서울특별시 관악구 관악로 287,동아아파트 상가 310호 (봉천동),02-872-8591,0,1030,2130,1030,2030,Y,1030,1500,2021.3.22 16:55,
GR210307,그루터기배움터지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.84477,37.5027,8251,서울특별시 구로구 고척로21나길 17,현대빌딩 3층 (개봉동),02-6738-6747,0,1030,1930,,,N,,,2021.3.22 16:55,
SB210305,사랑지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.00484,37.60983,2708,서울특별시 성북구 솔샘로 25, (정릉동),02-913-8563,0,1100,1900,,,N,,,2021.3.22 16:55,
SB210306,동소문행복한 홈스쿨 지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.01407,37.59723,2826,서울특별시 성북구 아리랑로7길 11,아리랑힐 빌라트b102 (동소문동7가),02-927-6377,0,1100,1900,,,N,,,2021.3.22 16:55,
SB210307,시습지역아동센터,1003,지역아동센터,11290,성북구,1003,초등학생,127.01106,37.61229,2717,서울특별시 성북구 보국문로16가길 43-13,103호 (정릉동 평완하이츠맨션),02-923-0910,0,1100,1900,,,N,,,2021.3.22 16:55,
SP210302,그린리버지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.14933,37.50146,5745,서울특별시 송파구 성내천로 189,3층 (마천동),02-421-1006,0,1000,2200,,,N,,,2021.3.22 16:55,
SP210303,아름다운꿈지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.15,37.49581,5757,서울특별시 송파구 마천로 305,(마천동) ,02-3402-1357,0,1100,2030,1100,2030,Y,1000,1900,2021.3.22 16:55,
SP210304,꿈꾸는지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.13702,37.50043,5740,서울특별시 송파구 동남로 280,4층 (오금동),02-449-5863,0,1000,2200,1000,2200,Y,1000,1700,2021.3.22 16:55,
SP210305,솔바람지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.15448,37.49632,5749,서울특별시 송파구 성내천로 271,,02-401-1391,0,1000,2000,,,N,,,2021.3.22 16:55,
SP210306,송파희망세상지역아동센터,1003,지역아동센터,11710,송파구,1003,초등학생,127.14733,37.49256,5773,서울특별시 송파구 오금로64길 4,2층 (거여동),02-6414-5515,0,1030,730,1030,730,N,,,2021.3.22 16:55,
YC210301,겨레얼학교지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,126.82525,37.53395,7911,서울특별시 양천구 가로공원로60길 15, (신월동),02-2602-9560,0,1100,2030,,,N,,,2021.3.22 16:55,
YC210302,다니엘청소년지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,126.83215,37.53311,7920,서울특별시 양천구 곰달래로3길 42-1, (신월동) 곰달래로3길 41,02-2065-7105,0,1200,2100,,,Y,1200,2100,2021.3.22 16:55,
YC210303,사무엘지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,126.82887,37.5332,7912,서울특별시 양천구 남부순환로54길 9, (신월동),02-2692-3710,0,1030,1930,,,N,,,2021.3.22 16:55,
YC210304,꿈나무들의둥지지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,126.86637,37.54423,7949,서울특별시 양천구 목동중앙북로8길 104,2층 (목동),02-2651-2303,0,1000,1900,,,N,,,2021.3.22 16:55,
YF210301,선유지역아동센터,1003,지역아동센터,11560,영등포구,1003,초등학생,126.89071,37.52309,7262,서울특별시 영등포구 선유로24길 3-3,(양평동1가) (양평동1가),02-2679-8881,0,1000,1900,1000,1900,N,,,2021.3.22 16:55,
YF210302,디모데지역아동센터,1003,지역아동센터,11560,영등포구,1003,초등학생,126.92313,37.51132,7355,서울특별시 영등포구 영등포로86길 17, (신길동),02-841-8333,0,1400,1900,,,N,,,2021.3.22 16:55,
YF210303,민들레학교지역아동센터,1003,지역아동센터,11560,영등포구,1003,초등학생,126.90969,37.52654,7230,서울특별시 영등포구 버드나루로 14가길 14,(당산동),02-2672-6009,,,,,,N,,,2021.3.22 16:55,
GN210301,비젼학교지역아동센터,1003,지역아동센터,11680,강남구,1003,초등학생,127.08342,37.49211,6343,서울특별시 강남구 일원로3길 38,2층 (일원동),070-7555-2229,0,900,1900,900,1900,Y,900,1800,2021.3.22 16:55,
DJ210304,선한지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.96001,37.50945,6910,서울특별시 동작구 흑석로13마길 1,1 3층 (흑석동),02-824-6213,0,1000,1900,,,N,,,2021.3.22 16:55,
DJ210310,솔나무지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.9319,37.50946,6942,서울특별시 동작구 등용로9길 2,1 (대방동),02-924-5907,0,1100,2100,,,N,,,2021.3.22 16:55,
DM210303,아름다운안암지역아동센터,1003,지역아동센터,11230,동대문구,1003,초등학생,127.03114,37.58257,2574,서울특별시 동대문구 약령시로 12, (제기동),02-921-2121,0,1000,1900,1000,1900,Y,1000,1400,2021.3.22 16:55,
GB210301,우리지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.03877,37.62961,1143,서울특별시 강북구 오현로31길 21,2층 (번동) ,02-980-6625,0,1000,2030,1000,2030,N,,,2021.3.22 16:55,2021.11.8 13:46
GR210303,우신지역아동센터,1003,지역아동센터,11530,구로구,1003,초등학생,126.82835,37.49528,8257,서울특별시 구로구 오리로 1265,우신상가 304호 (궁동) (궁동 우신빌라),02-2611-8041,0,1000,1900,,,N,,,2021.3.22 16:55,
SC210301,점프지역아동센터,1003,지역아동센터,11650,서초구,1003,초등학생,127.04449,37.47394,6781,서울특별시 서초구 언남12길 8,1층 (양재동),02-6401-6998,0,1000,1900,1000,1900,N,,,2021.3.22 16:55,
